"id","companyId","title","description","createdAt"
"f667f3df-feaf-40d7-a004-ac6ddc57287d", "FjcJCHJALA4i", "Jobs 19", "foreground", "2024-01-27T14:01:49.141Z"
"fabf59e0-42e9-453d-89f6-346f23b9d863", "FjcJCHJALA4i", "Jobs 20", "reciprocal", "2024-01-27T14:01:50.141Z"
"0a2d5bce-a821-4ef9-8509-614b11cc00e8", "Gu7QW9LcnF5d", "Jobs 21", "24/7", "2024-01-27T14:01:51.141Z"
"c70bff1b-d5e2-43b7-8369-9af078e1fd91", "Gu7QW9LcnF5d", "Jobs 22", "interactive", "2024-01-27T14:01:52.141Z"
"4111a86b-d8c0-4ccf-8bba-90db53914979", "FjcJCHJALA4i", "Jobs 23", "discrete", "2024-01-27T14:01:53.141Z"
"18114b0c-2091-455c-9106-3145d438dacb", "FjcJCHJALA4i", "Jobs 24", "composite", "2024-01-27T14:01:54.141Z"
"f39ccbd4-dfcb-4b37-b617-95b9e3157e2a", "FjcJCHJALA4i", "Jobs 25", "grid-enabled", "2024-01-27T14:01:55.141Z"
"5c97b344-93d6-4ab7-9878-682104fa7147", "Gu7QW9LcnF5d", "Jobs 26", "high-level", "2024-01-27T14:01:56.141Z"
"c1eb3bae-1d36-444a-9744-6419a53353cc", "FjcJCHJALA4i", "Jobs 27", "foreground", "2024-01-27T14:01:57.141Z"
"c74387df-9e07-4fc4-99d1-e270ad909396", "Gu7QW9LcnF5d", "Jobs 28", "client-driven", "2024-01-27T14:01:58.141Z"
"2c7823ce-9935-48d1-bc8e-436541135303", "FjcJCHJALA4i", "Jobs 29", "multi-tasking", "2024-01-27T14:01:59.141Z"
"2937aea2-f79c-423a-9719-fa39b2e09747", "Gu7QW9LcnF5d", "Jobs 30", "bifurcated", "2024-01-27T14:02:00.141Z"
"d1373c58-179a-4b2c-b78c-a775875d518b", "FjcJCHJALA4i", "Jobs 31", "systemic", "2024-01-27T14:02:01.141Z"
"9ba3d86c-cb1c-4f0f-85c4-57b3ee868eb8", "FjcJCHJALA4i", "Jobs 32", "attitude-oriented", "2024-01-27T14:02:02.141Z"
"5d75dfde-35f8-4a6a-a74b-48411caf3bfc", "Gu7QW9LcnF5d", "Jobs 33", "value-added", "2024-01-27T14:02:03.141Z"
"2cf42866-275a-44ad-ac0a-1ea3b0e289a0", "FjcJCHJALA4i", "Jobs 34", "client-server", "2024-01-27T14:02:04.141Z"
"3c3e1fb7-bd13-40c5-be55-08189e1a8624", "FjcJCHJALA4i", "Jobs 35", "multimedia", "2024-01-27T14:02:05.141Z"
"3149fe23-4a66-474b-a9c4-0c90919c35ae", "Gu7QW9LcnF5d", "Jobs 36", "context-sensitive", "2024-01-27T14:02:06.141Z"
"9ed14597-2a6a-453d-ab8e-57358c0ca747", "Gu7QW9LcnF5d", "Jobs 37", "systematic", "2024-01-27T14:02:07.141Z"
"2fa45f1e-6e57-4264-8f0f-b8ff0751f57c", "Gu7QW9LcnF5d", "Jobs 38", "6th generation", "2024-01-27T14:02:08.141Z"
"6a107700-3c38-483d-ac89-358a4bafefc5", "FjcJCHJALA4i", "Jobs 39", "uniform", "2024-01-27T14:02:09.141Z"
"94518787-919b-4c2f-9e6f-a16f99e60270", "Gu7QW9LcnF5d", "Jobs 40", "bi-directional", "2024-01-27T14:02:10.141Z"
"9f62cb79-97d6-456b-8cfa-347e45048e80", "FjcJCHJALA4i", "Jobs 41", "grid-enabled", "2024-01-27T14:02:11.141Z"
"7ca60b06-2904-433b-9d33-e2189491b563", "Gu7QW9LcnF5d", "Jobs 42", "scalable", "2024-01-27T14:02:12.141Z"
"88657650-1cea-4cdf-9563-d300adcee1a5", "Gu7QW9LcnF5d", "Jobs 43", "logistical", "2024-01-27T14:02:13.141Z"
"343851f7-9620-4bdc-ba72-951617789250", "Gu7QW9LcnF5d", "Jobs 44", "attitude-oriented", "2024-01-27T14:02:14.141Z"
"8834deec-5fca-488f-9356-26d71bc263e3", "Gu7QW9LcnF5d", "Jobs 45", "mobile", "2024-01-27T14:02:15.141Z"
"cb027a86-313e-47d0-829e-ba0409f06a20", "FjcJCHJALA4i", "Jobs 46", "optimizing", "2024-01-27T14:02:16.141Z"
"e92b724d-feed-47b1-a710-855ae14ad3d8", "Gu7QW9LcnF5d", "Jobs 47", "value-added", "2024-01-27T14:02:17.141Z"
"a1b32aa7-7b20-4038-ba59-14b385b49893", "FjcJCHJALA4i", "Jobs 48", "system-worthy", "2024-01-27T14:02:18.141Z"
"2e1ad13b-54e6-42d0-ac4c-51485d09496e", "FjcJCHJALA4i", "Jobs 49", "coherent", "2024-01-27T14:02:19.141Z"
"86141489-96cb-4886-a9ef-ffc244e3f9f9", "FjcJCHJALA4i", "Jobs 50", "coherent", "2024-01-27T14:02:20.141Z"
